ITEM	MAPPED_ITEM	Item_Start_Date	Item_End_Date	Item_reuse_flag	Mapped_Item_Desc	Mapped_Item_Category	Mapped_Item_Group	Mapped_Item_Subgroup	Mapped_Item_Subheading	CATEGORY_DESC	GROUP_DESC	SUBGROUP_DESC	SUBHEADING_DESC	BTOS	BTOS_DESC	MODIFY_BBI_FLAG
00001	00597	01/02/1984	30/04/2010	1	Professional attendance by a general practitioner on not more than 1 patient on the 1 occasion - each attendance (other than an attendance between 11pm and 7am) in an after-hours period if: a)the attendance is requested by the patient or a responsible person in, or not more than 2 hours before the start of, the same unbroken urgent after-hours period; b)the patient's condition requires urgent medical treatment; and c)if the attendance is undertaken at consulting rooms, it is necessary for the practitioner to return to, and specially open, the consulting rooms for the attendance	01	A11	A1101		PROFESSIONAL ATTENDANCES	URGENT ATTENDANCE AFTER HOURS	URGENT ATTENDANCE - AFTER HOURS		0101	Non-referred attendances GP/VR GP
00002	00597	01/02/1984	30/04/2010	1	Professional attendance by a general practitioner on not more than 1 patient on the 1 occasion - each attendance (other than an attendance between 11pm and 7am) in an after-hours period if: a)the attendance is requested by the patient or a responsible person in, or not more than 2 hours before the start of, the same unbroken urgent after-hours period; b)the patient's condition requires urgent medical treatment; and c)if the attendance is undertaken at consulting rooms, it is necessary for the practitioner to return to, and specially open, the consulting rooms for the attendance	01	A11	A1101		PROFESSIONAL ATTENDANCES	URGENT ATTENDANCE AFTER HOURS	URGENT ATTENDANCE - AFTER HOURS		0101	Non-referred attendances GP/VR GP
00003	00003	01/12/1989	31/12/9999		Professional attendance at consulting rooms (other than a service to which another item applies) by a general practitioner for an obvious problem characterised by the straightforward nature of the task that requires a short patient history and, if required, limited examination and management-each attendance	01	A01		01	PROFESSIONAL ATTENDANCES	GENERAL PRACTITIONER ATTENDANCES TO WHICH NO OTHER ITEM APPLIES		LEVEL A	0101	Non-referred attendances GP/VR GP
00004	00004	01/12/1989	31/12/9999		Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in the table applies) that requires a short patient history and, if necessary, limited examination and management-an attendance on one or more patients at one place on one occasion-each patient	01	A01		01	PROFESSIONAL ATTENDANCES	GENERAL PRACTITIONER ATTENDANCES TO WHICH NO OTHER ITEM APPLIES		LEVEL A	0101	Non-referred attendances GP/VR GP
00005	00005	01/02/1984	31/12/1989		Professional attendance at consulting rooms of more than 5 minutes duration but not more than 25 minutes duration (not being an attendance covered by any other item in this Part)-at a time other than a time covered by Item 6-- each attendance	01	A02	A0201		PROFESSIONAL ATTENDANCES	OTHER NON-REFERRED ATTENDANCES TO WHICH NO OTHER ITEM APPLIES	OTHER MEDICAL PRACTITIONER ATTENDANCES		0103	Non-referred attendances - Other
00006	00006	01/02/1984	30/11/1989		Professional attendance at consulting rooms of more than 5 minutes duration but not more than 25 minutes duration (not being an attendance covered by any other item in this Part)-- each attendance on a public holiday, on a Sunday, before 8 a.m. or after 1 p.m. on a Saturday or at any time other than between 8 a.m. and 8 p.m. on a day not being a Saturday, Sunday or public holiday	01	A02	A0201		PROFESSIONAL ATTENDANCES	OTHER NON-REFERRED ATTENDANCES TO WHICH NO OTHER ITEM APPLIES	OTHER MEDICAL PRACTITIONER ATTENDANCES		0103	Non-referred attendances - Other
00007	00007	01/02/1984	30/11/1989		Professional attendance at consulting rooms of more than 25 minutes duration but not more than 45 minutes duration (not being an attendance covered by any other item in this Part)-at a time other than a time covered by Item 8-- each attendance	01	A02	A0201		PROFESSIONAL ATTENDANCES	OTHER NON-REFERRED ATTENDANCES TO WHICH NO OTHER ITEM APPLIES	OTHER MEDICAL PRACTITIONER ATTENDANCES		0103	Non-referred attendances - Other
00008	00008	01/02/1984	30/11/1989		Professional attendance at consulting rooms of more than 25 minutes duration but not more than 45 minutes duration (not being an attendance covered by any other item in this Part)-- each attendance on a public holiday, on a Sunday, before 8 a.m. or after 1 p.m. on a Saturday or at any time other than between 8 a.m. and 8 p.m. on a day not being a Saturday, Sunday or public holiday	01	A02	A0201		PROFESSIONAL ATTENDANCES	OTHER NON-REFERRED ATTENDANCES TO WHICH NO OTHER ITEM APPLIES	OTHER MEDICAL PRACTITIONER ATTENDANCES		0103	Non-referred attendances - Other
00009	00009	01/02/1984	30/11/1989		Professional attendance at consulting rooms of more than 45 minutes duration (not being an attendance covered by any other item in this Part)-at a time other than a time covered by Item 10-- each attendance	01	A02	A0201		PROFESSIONAL ATTENDANCES	OTHER NON-REFERRED ATTENDANCES TO WHICH NO OTHER ITEM APPLIES	OTHER MEDICAL PRACTITIONER ATTENDANCES		0103	Non-referred attendances - Other
00010	00010	01/02/1984	30/11/1989		Professional attendance at consulting rooms of more than 45 minutes duration (not being an attendance covered by any other item in this Part)-- each attendance on a public holiday, on a Sunday, before 8 a.m. or after 1 p.m. on a Saturday or at any time other than between 8 a.m. and 8 p.m. on a day not being a Saturday, Sunday or public holiday	01	A02	A0201		PROFESSIONAL ATTENDANCES	OTHER NON-REFERRED ATTENDANCES TO WHICH NO OTHER ITEM APPLIES	OTHER MEDICAL PRACTITIONER ATTENDANCES		0103	Non-referred attendances - Other
00011	00011	01/02/1984	30/11/1989		Professional attendance, not being an attendance at consulting rooms, a hospital or a nursing home or an attendance that is one of 2 or more attendances on the one occasion at an institution, of not more than 5 minutes duration (not being an attendance covered by any other item in this Part)-at a time other than a time covered by Item 12-- each attendance	01	A02	A0201		PROFESSIONAL ATTENDANCES	OTHER NON-REFERRED ATTENDANCES TO WHICH NO OTHER ITEM APPLIES	OTHER MEDICAL PRACTITIONER ATTENDANCES		0103	Non-referred attendances - Other
00012	00012	01/02/1984	30/11/1989		Professional attendance, not being an attendance at consulting rooms, a hospital or a nursing home or an attendance that is one of 2 or more attendances on the one occasion at an institution, of not more than 5 minutes duration (not being an attendance covered by any other item in this Part)-- each attendance on a public holiday, on a Sunday, before 8 a.m. or after 1 p.m. on a Saturday or at any time other than between 8 a.m. and 8 p.m. on a day not being a Saturday, Sunday or public holiday	01	A02	A0201		PROFESSIONAL ATTENDANCES	OTHER NON-REFERRED ATTENDANCES TO WHICH NO OTHER ITEM APPLIES	OTHER MEDICAL PRACTITIONER ATTENDANCES		0103	Non-referred attendances - Other
00013	00004	01/11/1990	30/04/2010		Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in the table applies) that requires a short patient history and, if necessary, limited examination and management-an attendance on one or more patients at one place on one occasion-each patient	01	A01		01	PROFESSIONAL ATTENDANCES	GENERAL PRACTITIONER ATTENDANCES TO WHICH NO OTHER ITEM APPLIES		LEVEL A	0101	Non-referred attendances GP/VR GP
00014	00004	01/12/1989	31/10/1990		Professional attendance by a general practitioner (other than attendance at consulting rooms or a residential aged care facility or a service to which another item in the table applies) that requires a short patient history and, if necessary, limited examination and management-an attendance on one or more patients at one place on one occasion-each patient	01	A01			PROFESSIONAL ATTENDANCES	GENERAL PRACTITIONER ATTENDANCES TO WHICH NO OTHER ITEM APPLIES			0101	Non-referred attendances GP/VR GP
